		assetNameId	assetName	assetSymbol	marketList	assetType	yahooNordetInterconId
	Tethys Oil AB	160	Tethys Oil	TETY.ST			0
	Transmode AB	161	Transmode	TRMO.ST			0
	Tribona AB	162	Tribona	TRI.ST			0
	Unibet Group plc	163	Unibet Group	UNIB-SDB.ST			0
	Wihlborgs Fastigheter AB	164	Wihlborgs Fastigheter	WIHL.ST			0
	ÅF AB ser. B	165	ÅF B	AF-B.ST			0
	Öresund, Investment AB	166	Öresund	ORES.ST			0
							
	Vostok Nafta Investment, SDB			VNIL-SDB.ST			
	Klövern AB pref			KLOV-PREF.ST			
	Fast. Balder pref			BALD-PREF.ST			
	Securitas AB ser. B			SECU-B.ST			
	Sanitec Oyj			SNTC.ST			
	Nokia Corporation			NOKI-SEK.ST			
	Platzer Fastigheter Holding B			PLAZ-B.ST			
	Ratos AB pref			RATO-PREF.ST			
