Date,Open,High,Low,Close,Volume,Adj Close
2015-07-14,49.60,49.80,49.40,49.80,59800,48.23
2015-07-13,48.70,49.60,48.70,49.40,73700,47.85
2015-07-10,48.90,48.90,48.50,48.80,78700,47.27
2015-07-09,48.60,48.90,48.00,48.70,51500,47.17
2015-07-08,48.90,48.90,48.00,48.00,108000,46.49
2015-07-07,48.10,48.80,48.00,48.30,109400,46.78
2015-07-06,49.00,49.10,48.10,48.10,140600,46.59
2015-07-03,49.00,49.30,48.70,49.30,4696200,47.75
2015-07-02,50.75,50.75,50.00,50.50,73800,48.91
2015-07-01,50.50,51.00,50.25,50.25,96300,48.67
2015-06-30,51.50,51.75,50.25,50.50,146700,48.91
2015-06-29,50.25,52.00,50.25,51.50,133500,49.88
2015-06-26,52.50,52.50,52.00,52.50,75600,50.85
2015-06-25,52.50,52.50,51.75,52.25,42800,50.61
2015-06-24,51.75,52.75,51.75,52.50,28200,50.85
2015-06-23,52.50,52.50,51.75,52.25,54000,50.61
2015-06-22,53.00,53.25,51.75,52.00,71800,50.37
2015-06-19,53.00,53.00,53.00,53.00,000,51.33
2015-06-18,52.50,53.00,51.25,53.00,328800,51.33
2015-06-17,52.75,52.75,52.00,52.50,28700,50.85
2015-06-16,51.75,52.75,51.25,52.75,44500,51.09
2015-06-15,53.00,53.00,51.75,52.00,92300,50.37
2015-06-12,53.25,53.25,52.50,53.25,12200,51.58
2015-06-11,52.50,53.25,52.50,53.25,127300,51.58
2015-06-10,53.00,53.25,52.75,53.00,84600,51.33
2015-06-09,53.00,53.50,52.00,53.25,56700,51.58
2015-06-08,53.50,53.50,52.75,53.25,33800,51.58
2015-06-05,52.50,53.50,52.00,53.50,174000,51.82
2015-06-04,53.25,53.50,52.50,52.50,243600,50.85
2015-06-03,52.50,53.50,52.50,53.50,79800,51.82
2015-06-02,53.75,53.75,52.75,53.50,43100,51.82
2015-06-01,54.00,54.00,52.75,53.50,71800,51.82
2015-05-29,54.25,54.25,52.25,53.25,516600,51.58
2015-05-28,52.75,54.00,52.75,53.75,72800,52.06
2015-05-27,54.00,54.00,52.50,53.00,113700,51.33
2015-05-26,53.50,54.00,53.00,53.00,89600,51.33
2015-05-25,53.50,54.00,52.50,53.75,134300,52.06
2015-05-22,51.00,54.00,49.80,53.75,360200,52.06
2015-05-21,52.00,52.00,51.00,51.00,38800,48.14
2015-05-20,51.75,52.00,51.00,52.00,111600,49.08
2015-05-19,51.75,51.75,50.50,51.50,194100,48.61
2015-05-18,49.50,51.50,49.50,50.50,118200,47.67
2015-05-15,48.30,49.40,47.70,49.10,103400,46.34
2015-05-14,47.30,47.30,47.30,47.30,000,44.65
2015-05-13,48.00,48.00,47.10,47.30,41300,44.65
2015-05-12,47.10,47.30,46.80,47.00,72100,44.36
2015-05-11,48.80,49.30,47.10,47.10,176100,44.46
2015-05-08,47.70,48.70,47.50,47.70,85200,45.02
2015-05-07,48.20,48.60,47.10,47.60,128400,44.93
2015-05-06,49.80,49.80,48.10,48.20,37500,45.49
2015-05-05,50.50,50.50,49.10,49.30,46800,46.53
2015-05-04,48.90,50.50,48.90,50.50,55500,47.67
2015-05-01,48.90,48.90,48.90,48.90,000,46.16
2015-04-30,49.50,50.75,48.00,48.90,144400,46.16
2015-04-29,51.00,51.00,48.50,49.50,180900,46.72
2015-04-28,50.00,51.00,50.00,50.00,77900,47.19
2015-04-27,51.25,51.25,50.50,51.00,30800,46.91
2015-04-24,51.25,51.25,50.25,51.00,72600,46.91
2015-04-23,50.75,51.50,50.25,51.00,219800,46.91
2015-04-22,50.75,51.25,50.00,50.00,126100,45.99
2015-04-21,50.00,50.50,49.70,50.50,204600,46.45
2015-04-20,50.50,50.75,49.80,49.80,78800,45.81
2015-04-17,51.50,51.50,50.25,50.25,123900,46.22
2015-04-16,51.75,51.75,50.75,50.75,192700,46.68
2015-04-15,52.00,52.00,51.00,51.00,139000,46.91
2015-04-14,51.50,52.00,51.25,52.00,165000,47.83
2015-04-13,51.50,51.50,50.25,51.50,83200,47.37
2015-04-10,51.25,51.50,51.00,51.50,70900,47.37
2015-04-09,52.00,52.00,51.50,51.50,45500,47.37
2015-04-08,51.75,52.00,51.50,52.00,38200,47.83
2015-04-07,52.00,53.50,51.25,51.75,116000,47.60
2015-04-06,52.50,52.50,52.50,52.50,000,48.29
2015-04-03,52.50,52.50,52.50,52.50,000,48.29
2015-04-02,51.75,52.50,51.75,52.50,20000,48.29
2015-04-01,52.00,52.00,51.25,51.75,42400,47.60
2015-03-31,51.25,51.50,50.75,51.00,66700,46.91
2015-03-30,51.25,51.75,50.50,51.25,108100,47.14
2015-03-27,51.25,51.25,49.60,50.50,152400,46.45
2015-03-26,52.00,52.00,51.00,51.00,160400,46.91
2015-03-25,52.25,52.25,51.50,52.00,34300,47.83
2015-03-24,51.75,52.50,51.25,52.25,84100,48.06
2015-03-23,52.00,53.25,51.00,51.50,168800,47.37
2015-03-20,53.75,53.75,51.25,53.00,304500,48.75
2015-03-19,53.75,53.75,53.00,53.75,101100,49.44
2015-03-18,53.75,54.00,53.00,53.00,140600,48.75
2015-03-17,54.00,54.00,53.25,53.75,27400,49.44
2015-03-16,53.50,54.50,53.25,54.00,82700,49.67
2015-03-13,52.75,53.50,52.50,52.75,72800,48.52
2015-03-12,52.50,52.75,52.50,52.50,81600,48.29
2015-03-11,52.50,52.75,52.00,52.50,71000,48.29
2015-03-10,52.50,52.50,50.75,52.50,76400,48.29
2015-03-09,51.75,52.25,51.75,52.00,41400,47.83
2015-03-06,52.50,52.50,51.75,51.75,48400,47.60
2015-03-05,52.50,53.25,51.75,51.75,83900,47.60
2015-03-04,53.25,53.50,51.25,52.50,54800,48.29
2015-03-03,54.25,54.75,52.00,52.25,375900,48.06
2015-03-02,54.00,54.75,53.50,53.50,301400,49.21
2015-02-27,52.00,52.50,52.00,52.50,68000,48.29
2015-02-26,53.50,53.50,51.00,52.00,268300,47.83
2015-02-25,54.75,56.00,52.50,53.50,574800,49.21
2015-02-24,52.50,52.50,50.25,50.75,91400,46.68
2015-02-23,53.50,53.75,52.50,52.50,55600,48.29
2015-02-20,52.50,53.75,52.50,53.25,319100,48.98
2015-02-19,53.50,53.50,51.00,52.25,88700,48.06
2015-02-18,53.00,53.75,52.00,52.75,38300,48.52
2015-02-17,52.50,52.50,51.25,52.00,95200,47.83
2015-02-16,52.75,53.00,52.00,52.25,48700,48.06
2015-02-13,53.75,53.75,52.00,52.75,73500,48.52
2015-02-12,53.50,54.25,53.25,53.75,57500,49.44
2015-02-11,53.75,54.00,53.25,53.75,26100,49.44
2015-02-10,53.25,53.75,52.50,53.25,48800,48.98
2015-02-09,53.25,54.00,53.00,53.75,46700,49.44
2015-02-06,53.25,53.75,53.00,53.25,42400,48.98
2015-02-05,53.50,53.50,52.25,53.00,17500,48.75
2015-02-04,52.50,53.50,52.25,53.50,41800,49.21
2015-02-03,52.00,53.75,51.25,53.25,75200,48.98
2015-02-02,53.50,54.00,51.25,52.00,85700,47.83
2015-01-30,53.00,53.00,51.25,52.50,146200,48.29
2015-01-29,51.25,52.50,51.00,52.50,319400,48.29
2015-01-28,52.00,52.75,51.00,51.25,136400,47.14
2015-01-27,50.75,52.00,49.80,50.25,55900,46.22
2015-01-26,48.70,50.75,48.70,50.25,59800,46.22
2015-01-23,48.60,49.10,48.00,48.90,53700,44.98
2015-01-22,46.20,49.00,46.20,48.30,70100,44.43
2015-01-21,45.70,46.20,45.30,46.20,28600,42.50
2015-01-20,45.00,45.80,44.90,45.70,148900,42.04
2015-01-19,45.50,45.50,44.80,45.00,199600,41.39
2015-01-16,46.00,46.00,44.70,45.40,53100,41.76
2015-01-15,47.00,47.00,45.50,45.70,148400,42.04
2015-01-14,47.10,47.50,46.70,47.00,40400,43.23
2015-01-13,46.00,47.50,44.50,47.10,346900,43.32
2015-01-12,46.10,46.30,45.80,45.80,31000,42.13
2015-01-09,45.70,46.80,45.70,46.00,146600,42.31
2015-01-08,47.00,47.00,45.60,46.00,220700,42.31
2015-01-07,47.40,47.40,46.10,46.10,124000,42.40
2015-01-06,47.40,47.40,47.40,47.40,000,43.60
2015-01-05,47.90,47.90,47.30,47.40,11200,43.60
2015-01-02,48.00,48.00,47.70,48.00,24300,44.15
2015-01-01,48.20,48.20,48.20,48.20,000,44.33
2014-12-31,48.20,48.20,48.20,48.20,000,44.33
2014-12-30,47.70,48.30,47.70,48.20,90000,44.33
2014-12-29,48.10,48.10,47.50,47.80,38100,43.97
2014-12-26,48.20,48.20,48.20,48.20,000,44.33
2014-12-25,48.20,48.20,48.20,48.20,000,44.33
2014-12-24,48.20,48.20,48.20,48.20,000,44.33
2014-12-23,47.00,48.50,47.00,48.20,91700,44.33
2014-12-22,47.50,47.60,46.60,47.20,180400,43.42
2014-12-19,48.30,48.70,47.80,47.80,135800,43.97
2014-12-18,49.70,49.70,48.00,48.50,185900,44.61
2014-12-17,49.60,49.60,48.10,48.70,90800,44.79
2014-12-16,49.90,50.00,49.30,49.60,140300,45.62
2014-12-15,49.00,50.25,48.70,50.00,185500,45.99
2014-12-12,51.25,51.50,49.00,49.70,74400,45.71
2014-12-11,52.50,52.75,51.25,51.25,150400,47.14
2014-12-10,51.50,52.75,51.25,52.75,116300,48.52
2014-12-09,50.50,52.00,50.25,51.50,109200,47.37
2014-12-08,52.00,52.00,50.50,50.50,140700,46.45
2014-12-05,51.00,51.00,51.00,51.00,000,46.91
2014-12-04,50.75,51.25,50.50,51.00,92600,46.91
2014-12-03,51.00,51.00,51.00,51.00,000,46.91
2014-12-02,50.50,52.00,50.50,51.00,463700,46.91
2014-12-01,52.25,52.75,48.10,52.25,165000,48.06
2014-11-28,57.00,57.00,49.70,53.00,1487100,48.75
2014-11-27,56.50,57.00,55.00,57.00,82500,52.43
2014-11-26,57.00,57.75,55.50,56.00,72400,51.51
2014-11-25,58.50,59.50,57.00,57.00,500800,52.43
2014-11-24,58.00,58.25,56.75,58.00,363900,53.35
2014-11-21,57.25,59.00,56.25,58.00,52800,53.35
2014-11-20,57.50,58.50,57.00,58.25,45100,53.58
2014-11-19,59.00,59.00,57.00,57.50,60900,52.89
2014-11-18,58.50,59.00,58.00,59.00,53300,54.27
2014-11-17,59.75,59.75,58.00,58.50,39500,53.81
2014-11-14,60.00,60.00,58.25,58.50,119200,53.81
2014-11-13,60.00,61.00,58.00,58.00,365100,53.35
2014-11-12,57.75,59.75,57.75,58.50,110700,53.81
2014-11-11,58.00,59.25,57.00,59.25,278400,54.50
2014-11-10,57.75,59.75,57.00,58.00,126300,53.35
2014-11-07,55.00,59.50,55.00,58.00,126400,53.35
2014-11-06,54.50,55.50,51.50,54.50,70200,50.13
2014-11-05,55.00,55.00,53.25,54.50,22000,50.13
2014-11-04,56.00,56.00,52.50,53.25,84600,48.98
2014-11-03,54.00,57.50,53.50,54.50,90800,50.13
2014-10-31,53.00,57.50,53.00,54.00,43500,49.67
