KINV-A.ST	KINNEVIK INV. -A-	0
KINV-B.ST	KINNEVIK INV. -B-	0
KLED-IL.ST	KUNGSLEDEN RED.	0
KLED.ST	Kungsleden AB	0
KLIC-B.ST	KLICK DATA -B-	0
KLOV.ST	Klovern Ab	0
KMIN-B.ST	Kopparberg Mineral AB	0
KNOW.ST	Know IT AB	0
KOAO.ST	KONGSB AUTOM HOLD	0
KRKB.ST	STAVRULLEN -B-	0
KWALB.ST	KINDWALLS BIL -B-	0
LABS.ST	Labs2 Group AB	0
LAGR-B.ST	Lagercrantz Group AB	0
LAGRB.ST	Lagercrantz Group AB	0
LAMM-B.ST	Lammhults Design Group AB	0
LATF-B.ST	LATVIAN FOREST -B-	0
LATO-A.ST	LATOUR INVEST -A-	0
LATO-B.ST	Investment AB Latour	0
LATOA.ST	LATOUR INVESTMENT AB	0
LATOB.ST	Investment Ab Latour	0
LBI.ST	LBI International AB	0
LEDS-B.ST	Ledstriernan	0
LEDSB.ST	Ledstriernan	0
LIAB.ST	LINDAB INTERNAT.	0
LINE-B.ST	LINEAR -B-	0
LJGR-B.ST	Atrium Ljungberg AB	0
LJGRB.ST	Atrium Ljungberg AB	0
LLSW-B.ST	LIGHTLAB SWEDEN -B-	0
LMED.ST	LinkMed AB	0
LOOM-B.ST	Loomis AB	0
LOVI.ST	LOVISAGRUVAN	0
LUCE.ST	LUCENT OIL	0
LUMI-SDB.ST	Lundin Mining Corp	0
LUND-B.ST	L E Lundbergforetagen AB	0
LUNDB.ST	Lundbergforetagen	0
LUPE.ST	Lundin Petroleum AB	0
LUVA.ST	Avensia Innovation AB	0
LUXO-SDB.ST	Luxonen S.A.	0
LWSN.ST	Lawson Software Inc	0
LYYN.ST	LYYN	0
MACK-B.ST	MACKMYRA WHISKY -B-	0
MAHL.ST	MAHLER INTERNATIONA	0
MAXP.ST	MAXPEAK	0
MCAB-SDB.ST	MYCAB INTERNAT SDR	0
MCRO.ST	Micro Holding AB	0
MEAB-B.ST	Malmbergs Elektriska AB	0
MEABB.ST	Malmbergs Elektriska	0
MEDA-A.ST	Meda AB	0
MEDAA.ST	Meda AB	0
MEDF.ST	MEDFIELD DIAGN	0
MEDR-B.ST	MEDIRATT -B-	0
MEKO.ST	Mekonomen AB	0
MEKOB.ST	Mekonomen AB	0
MELK.ST	Melker Schorling AB	0
