AAK.ST|AarhusKarlshamn AB
LATO-B.ST|Investment AB Latour
LUND-B.ST|L E Lundbergforetagen AB
ECO-B.ST|ECORUB -B-
CAT-B.ST|Catella AB
LOOM-B.ST|Loomis AB
CONP-B.ST|CONPHARM -B-
DIAM-B.ST|Diamyd Medical AB
SKA-B.ST|Skanska AB
GETI-B.ST|Getinge AB
BTS-B.ST|BTS Group AB
SJR-B.ST|SKA JOUR & REKR -B-
EURI-TR-B.ST|EU INST SCIEN RTS12
PALS-B.ST|PALLAS GROUP -B-
LAMM-B.ST|Lammhults Design Group AB
MSON-B.ST|Midsona AB
ADDT-B.ST|Addtech AB
NET-B.ST|Net Entertainment NE AB
TREL-B.ST|Trelleborg AB
SGLD-B.ST|STUREGULD -B-
BIGG-BTA-B.ST|BIOTECH-IGG -B- I13
SEAB-B.ST|SKANSKA ENERGI -B-
IDL-B.ST|IDL Biotech AB
YILD-B.ST|YIELD LIFE SCIE -B-
VIT-B.ST|VITEC SOFTWA GR -B-
LLSW-B.ST|LIGHTLAB SWEDEN -B-
HM-B.ST|HENNES&MAURITZ -B-
SJOH-B.ST|SPORTJOHAN -B-
AMAST-B.ST|AMASTEN HOLD -B-
VBG-B.ST|VBG Group AB
BETS-B.ST|Betsson AB
NSP-B.ST|Nordic Service Partners Holding AB
ICTA-B.ST|Intellecta AB
SKIS-B.ST|SkiStar AB
SECU-B.ST|Securitas AB
ATO-TR-B.ST|ALTERO RTS 13
PCOM-B.ST|PRECOMP SOLUTI -B-
RTIM-B.ST|Rorvik Timber AB
PRIC-B.ST|Pricer AB
MROX-B.ST|MEDIROX -B-
ENJO-B.ST|ENJOY GROUP -B-
SECT-IL-B.ST|SECTRA-B- REDPFD 12
MVIR-B.ST|Medivir AB
PEAB-B.ST|Peab AB
NEWA-B.ST|New Wave Group AB
ATO-B.ST|ALTERO -B-
FOHF-B.ST|FORSSTROM H.FR. -B-
CONS-B.ST|Consilium AB
CRAD-B.ST|C-RAD -B-
ATCO-B.ST|Atlas Copco AB
SECT-B.ST|Sectra AB
DEFL-B.ST|DEFLAMO -B-
RBAB-B.ST|RELATION & BRAN -B-
TEL2-B.ST|Tele2 AB
AMH2-B.ST|AMHULT 2 -B-
GHUS-B.ST|GOTENEHUS GROUP -B-
ANOD-B.ST|AddNode AB
HEBA-B.ST|FAST. HEBA-B-
FING-B.ST|Fingerprint Cards AB
BIOG-B.ST|BioGaia AB
TRAT-B.ST|TRACTECHNOLOGY -B-
VOLV-B.ST|Volvo Corporation
RATO-B.ST|Ratos AB
EOLU-B.ST|EOLUS VIND -B-
TRUE-B.ST|TRUE HEADING -B-
MEDR-B.ST|MEDIRATT -B-
SWEC-B.ST|Sweco AB
EMP-B.ST|Empire AB
SAAB-B.ST|Saab AB
BRIN-B.ST|Brinova Fastigheter AB
SHB-B.ST|Svenska Handelsbanken
STVA-B.ST|STAR VAULT -B-
MACK-B.ST|MACKMYRA WHISKY -B-
CLAS-B.ST|Clas Ohlson AB
CHEM-B.ST|Biotech-IgG AB
SCA-B.ST|Svenska Cellulosa AB
BEIA-B.ST|Beijer Alma AB
SCOR-B.ST|SWITCHCORE -B-
VEND-B.ST|VENDATOR -B-
BIGG-TR-B.ST|BIOTECH RTS 13/B
BRG-BTA-B.ST|BERGS TIMB B I12/1
WALL-B.ST|Wallenstam AB
MTG-B.ST|Modern Times Group MTG AB
HOLM-B.ST|Holmen AB
TRAC-B.ST|Traction AB
REJL-B.ST|Rejlerkoncernen AB
KLIC-B.ST|KLICK DATA -B-
CHAL-BTA-B.ST|CHALLENGMOB -B- I12
LATF-B.ST|LATVIAN FOREST -B-
SVED-B.ST|Svedbergs i Dalstorp AB
HIFA-B.ST|Hifab Group AB
ACAP-B.ST|ACAP Invest AB
RECY-B.ST|RECYCTEC HLDG -B-
